question_name,question_link,level,type,topic_slug
Counts Zeros Xor Pairs,https://www.geeksforgeeks.org/problems/counts-zeros-xor-pairs0349/1?page=3&category=Bit%20Magic&sortBy=difficulty,MEDIUM,HOMEWORK,bit-manipulations
Count total set bits,https://www.geeksforgeeks.org/problems/count-total-set-bits-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HARD,CLASSWORK,bit-manipulations
Gray to Binary equivalent,https://www.geeksforgeeks.org/problems/gray-to-binary-equivalent-1587115620/1?page=6&category=Bit%20Magic&sortBy=difficulty,HARD,CLASSWORK,bit-manipulations
Count Primes,https://leetcode.com/problems/count-primes/,MEDIUM,CLASSWORK,maths-primes
Closest Prime Numbers in Range,https://leetcode.com/problems/closest-prime-numbers-in-range/,MEDIUM,CLASSWORK,maths-primes
N-divisors,https://www.geeksforgeeks.org/problems/n-divisors5123/1,EASY,CLASSWORK,maths-primes
Sum 1 to n Divisors,https://www.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n4738/1,EASY,HOMEWORK,maths-primes
Count Odd Factors,https://www.geeksforgeeks.org/problems/count-odd-factors0844/1,EASY,HOMEWORK,maths-primes
Prime Pairs With Target Sum,https://leetcode.com/problems/prime-pairs-with-target-sum/,MEDIUM,HOMEWORK,maths-primes
Distinct Prime Factors of Product of Array,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/,HARD,HOMEWORK,maths-primes
Count pairs in array divisible by K,https://www.geeksforgeeks.org/problems/count-pairs-in-array-divisible-by-k/1,MEDIUM,CLASSWORK,math-modular
Product of Primes,https://www.geeksforgeeks.org/problems/product-of-primes5328/1,MEDIUM,HOMEWORK,math-modular
Product of an Array,https://www.geeksforgeeks.org/problems/product-of-array-element/1?page=6&category=Arrays&sortBy=difficulty,EASY,HOMEWORK,math-modular
Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,MEDIUM,HOMEWORK,math-modular
Frequencies in a Limited Array,https://www.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1,EASY,CLASSWORK,math-modular
Rearrange an array with O(1) extra space,https://www.geeksforgeeks.org/problems/rearrange-an-array-with-o1-extra-space3142/1,EASY,CLASSWORK,math-modular
Pascal Triangle,https://www.geeksforgeeks.org/problems/pascal-triangle0652/1,MEDIUM,CLASSWORK,maths-permutations
nCr,https://www.geeksforgeeks.org/problems/ncr1019/1,MEDIUM,HOMEWORK,maths-permutations
Rank The Permutations,https://www.geeksforgeeks.org/problems/rank-the-permutations2229/1,MEDIUM,HOMEWORK,maths-permutations
GCD of two numbers,https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,EASY,CLASSWORK,maths-gcd
GCD of Array,https://www.geeksforgeeks.org/problems/gcd-of-array0614/1,EASY,HOMEWORK,maths-gcd
Sum of GCDs,https://www.geeksforgeeks.org/problems/sum-of-gcds1050/1,MEDIUM,HOMEWORK,maths-gcd
Array Subset,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Check Arithmetic Progression,https://www.geeksforgeeks.org/problems/check-arithmetic-progression1842/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Difference between highest and lowest occurrence,https://www.geeksforgeeks.org/problems/difference-between-highest-and-lowest-occurrence4613/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Find unique element,https://www.geeksforgeeks.org/problems/find-unique-element2632/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Distinct Elements in a Stream,https://www.geeksforgeeks.org/problems/distinct-elements-in-a-stream1557/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Count number of elements between two given elements in array,https://www.geeksforgeeks.org/problems/count-number-of-elements-between-two-given-elements-in-array4044/1?page=1&category=Hash&sortBy=difficulty,MEDIUM,HOMEWORK,hashing
Anagram Palindrome,https://www.geeksforgeeks.org/problems/anagram-palindrome4720/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Repeated Character,https://www.geeksforgeeks.org/problems/repeated-character2058/1?page=1&category=Hash&sortBy=difficulty,EASY,HOMEWORK,hashing
Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,EASY,HOMEWORK,hashing
Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,EASY,HOMEWORK,hashing
Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii/,MEDIUM,HOMEWORK,hashing
Find the Difference,https://leetcode.com/problems/find-the-difference/,EASY,HOMEWORK,hashing
Find distinct elements,https://www.geeksforgeeks.org/problems/find-distinct-elements--130928/1,EASY,CLASSWORK,hashing
Remove duplicates in array,https://www.geeksforgeeks.org/problems/remove-duplicates-in-small-prime-array/1,EASY,HOMEWORK,hashing
Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/,EASY,HOMEWORK,hashing
Sum of Unique Elements,https://leetcode.com/problems/sum-of-unique-elements/,EASY,HOMEWORK,hashing
Majority Element,https://leetcode.com/problems/majority-element/,EASY,HOMEWORK,hashing
Ransom Note,https://leetcode.com/problems/ransom-note/,EASY,HOMEWORK,hashing
Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,EASY,HOMEWORK,hashing
Subarray with 0 sum,https://www.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1,MEDIUM,CLASSWORK,hashing
Largest subarray with 0 sum,https://www.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,MEDIUM,CLASSWORK,hashing
Contiguous Array,https://leetcode.com/problems/contiguous-array/,MEDIUM,CLASSWORK,hashing
Two Sum,https://leetcode.com/problems/two-sum/,MEDIUM,CLASSWORK,hashing
Zero Sum Subarrays,https://www.geeksforgeeks.org/problems/zero-sum-subarrays1825/1,MEDIUM,HOMEWORK,hashing
Count pairs with given sum,https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum--150253/1,MEDIUM,CLASSWORK,hashing
Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,MEDIUM,HOMEWORK,hashing
Pairs with difference k,https://www.geeksforgeeks.org/problems/pairs-with-difference-k1713/1,MEDIUM,HOMEWORK,hashing
Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,MEDIUM,CLASSWORK,hashing
Count distinct elements in every window,https://www.geeksforgeeks.org/problems/count-distinct-elements-in-every-window/1,MEDIUM,CLASSWORK,hashing
Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,MEDIUM,HOMEWORK,hashing
Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k/,MEDIUM,HOMEWORK,hashing
Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,MEDIUM,CLASSWORK,hashing
Length of the Longest Alphabetical Continuous Substring,https://leetcode.com/problems/length-of-the-longest-alphabetical-continuous-substring/,MEDIUM,HOMEWORK,hashing
Number of Zero-Filled Subarrays,https://leetcode.com/problems/number-of-zero-filled-subarrays/,MEDIUM,HOMEWORK,hashing
Find the Maximum Number of Elements in Subset,https://leetcode.com/problems/find-the-maximum-number-of-elements-in-subset/,HARD,HOMEWORK,hashing
Print 1 to n without using loops,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops3621/1,EASY,CLASSWORK,recursion
Print GFG n times,https://www.geeksforgeeks.org/problems/print-gfg-n-times/0,EASY,CLASSWORK,recursion
Power Using Recursion,https://www.geeksforgeeks.org/problems/power-using-recursion/1?page=1&category=Recursion&sortBy=difficulty,EASY,HOMEWORK,recursion
